state,type,max_price,min_price,address,lat,lng,landArea,builtUp,sizeUnit,level1,level2,level3
selangor,sale,540000,540000,"Bandar Sungai Long, 43200, Selangor",,,1300,1300,SQUARE_FEET,Selangor,Bandar Sungai Long,
selangor,sale,1280000,1280000,"18, usj16/3c, Usj16, 47630, Selangor",3.0358598,101.578639,2475,,SQUARE_FEET,Selangor,Subang Jaya,
selangor,sale,1050000,1050000,"Summerglades, Perdana Lakeview Cyberjaya, Selangor",,,3100,3100,SQUARE_FEET,Selangor,Cyberjaya,
selangor,sale,998000,998000,"Setia Eco Glades, Cyberjaya, Liu Li Garden, Setia Eco Glades, 63000, Selangor",3.159465,101.486,2470,2900,SQUARE_FEET,Selangor,Cyberjaya,
selangor,sale,2950000,2950000,"Aspen Garden Residence, Cyberjaya, Aspen Garden Residence, Cyberjaya, 63000, Selangor",,,5400,7797,SQUARE_FEET,Selangor,Cyberjaya,
selangor,sale,1990000,1990000,"Jacaranda Garden Residence Cyberjaya, Jacaranda Garden Residence  , Selangor",2.9468568,101.6721285,4800,4541,SQUARE_FEET,Selangor,Cyberjaya,
selangor,sale,369000,369000,"Jalan Fauna 1, Cyberjaya, 63000, Selangor",2.916179,101.645764,,965,SQUARE_FEET,Selangor,Cyberjaya,Serin Residency
selangor,sale,266096,266096,"Persiaran Kajang 2, Kajang, 43000, Selangor",2.965798,101.798157,,578,SQUARE_FEET,Selangor,Kajang,Mirai Residences
selangor,sale,327000,327000,"Jalan Teratai, Jalan PJU 6a/3a, Petaling Jaya, 47400, Selangor",3.135443,101.614617,,450,SQUARE_FEET,Selangor,Petaling Jaya,121 Residences
selangor,sale,270000,270000,"Persiaran Indera, Taman Wawasan, 47100, Selangor",3.026462,101.628906,,850,SQUARE_FEET,Selangor,Puchong,Desa Tanjung
selangor,sale,393000,393000,"Persiaran Kewajipan USJ 19, Subang Jaya, 47630, Selangor",3.031577,101.588761,,920,SQUARE_FEET,Selangor,Subang Jaya,Rhythm Avenue
selangor,sale,0,715000,"Tropicana Indah, Petaling Jaya, Selangor",3.148841,101.59096,2.35 Acres,From 556 - 1111,,Selangor,Petaling Jaya,"Edelweiss Serviced Residences, Tropicana Gardens"
selangor,sale,683100,683100,"Jalan Puteri 7/13, Bandar Puteri Puchong, 47100, Selangor",3.024762,101.621012,,1119,SQUARE_FEET,Selangor,Puchong,The Pulse Residence
selangor,sale,1420000,1420000,"Dillenia Worldwide Bukit Bandaraya, Selangor",,,3600,2822,SQUARE_FEET,Selangor,Shah Alam,
selangor,sale,0,450000,"Bandar Baru Salak Tinggi, Sepang, Selangor",2.822859,101.728555,,From 1555 - 1624,,Selangor,Sepang,M Senyum
selangor,sale,665000,665000,,,,556,2098,SQUARE_FEET,Selangor,Seri Kembangan,
selangor,sale,1800000,1800000,"Vistaria Residence, Bandar Puchong Jaya, Selangor",3.045329,101.630201,3400,3400,SQUARE_FEET,Selangor,Puchong,
selangor,sale,830000,830000,"Taman Myra, Meranti, Selangor",,,1400,2921,SQUARE_FEET,Selangor,Puchong South,
selangor,sale,0,723888,"Serenia City, Sepang, Selangor",2.851456,101.706611,,From 1866 - 2132,,Selangor,Sepang,Serenia City : Serenia Aiora
selangor,sale,4500000,4500000,"Pulau Meranti, Selangor",,,3.81,,SQUARE_FEET,Selangor,Puchong South,
selangor,sale,310000,310000,"Jalan Raintree Utama Off Jalan Station, Batu Caves, 68100, Selangor",3.241782,101.679813,,1012,SQUARE_FEET,Selangor,Batu Caves,Amara
selangor,sale,1400000,1400000,"Empire Residence Olive, Selangor",,,1500,4878,SQUARE_FEET,Selangor,Damansara Perdana,
selangor,sale,0,0,"City of Emina, Shah Alam, Selangor",3.204111,101.497778,13.05 Acres,From 2478 - 2841,,Selangor,Shah Alam,City of Elmina : Elmina Green 5
selangor,sale,1350000,1350000,"ECO MAJESTIC, STONERIDGE, SEMENYIH, KAJANG, Selangor",,,,3240,SQUARE_FEET,Selangor,Semenyih,
selangor,sale,660000,660000,"Diamond City, Semenyih, Selangor, Selangor",2.9513081,101.8582181,,2097,SQUARE_FEET,Selangor,Semenyih,
selangor,sale,1400000,1400000,"USJ 3, Selangor",,,4036,1800,SQUARE_FEET,Selangor,Subang Jaya,
selangor,sale,500000,500000,"Jalan Bentara,Seksyen 5, Section 5, Selangor",3.0669826,101.7980682,1300,1658,SQUARE_FEET,Selangor,Bandar Mahkota Cheras,
selangor,sale,310000,310000,"Jalan Datuk Jamil Rais 14/20, Petaling Jaya, 1499, Selangor",3.108956,101.63623,,861,SQUARE_FEET,Selangor,Petaling Jaya,Menara Bakti
selangor,sale,1560000,1560000,"Monterey, Grandezza, Terraza, Eco Santuari, 42500, Selangor",2.9357733,101.5335655,,2788,SQUARE_FEET,Selangor,Kota Kemuning,
selangor,sale,788000,788000,"Persiaran Meranti, Off Persiaran Perdana, Bandar Sri Damansara, 52200, Selangor",3.181906,101.611423,,1610,SQUARE_FEET,Selangor,Bandar Sri Damansara,Damansara Foresta
selangor,sale,780000,780000,"Persiaran Meranti, Off Persiaran Perdana, Bandar Sri Damansara, 52200, Selangor",3.181906,101.611423,,1426,SQUARE_FEET,Selangor,Bandar Sri Damansara,Damansara Foresta
selangor,sale,650000,650000,"Persiaran Meranti, Off Persiaran Perdana, Bandar Sri Damansara, 52200, Selangor",3.181906,101.611423,,1468,SQUARE_FEET,Selangor,Bandar Sri Damansara,Damansara Foresta
selangor,sale,891756,891756,"Sungai Merab, Selangor",,,1800,2562,SQUARE_FEET,Selangor,Kajang,
selangor,sale,6500000,6500000,"BK9, Bandar Kinrara, 47180, Selangor",,,10732,11000,SQUARE_FEET,Selangor,Bandar Kinrara,
selangor,sale,850000,850000,"Jalan Kemuning damai 32/150, Kemuning Utama , 40460, Selangor",3.0048349,101.5233625,1540,2200,SQUARE_FEET,Selangor,Kota Kemuning,
selangor,sale,1070000,720000,"Setia Bayuemas, Klang, Selangor",2.9755,101.454323,6.02 acres,From 1812 - 1976,,Selangor,Klang,Bergenia A2
selangor,sale,2500000,2500000,"Jalan Warisan Setia 5/4, Kota Warisan, 43900, Selangor",2.8167581,101.7049025,8396,4610,SQUARE_FEET,Selangor,Sepang,
selangor,sale,1625000,1625000,"Laman Lakeside @ Bandar Bukit Raja, 41050, Selangor",,,3200,3106,SQUARE_FEET,Selangor,Klang,
selangor,sale,0,0,"Kota Damansara, Selangor",3.165397,101.579586,6.458 acres,From 829 - 1238,,Selangor,Kota Damansara,
selangor,sale,730000,730000,"Setia Permai 2 @ Setia Alam ,Shah Alam. Setia Alam, 40170, Selangor",,,1300,1970,SQUARE_FEET,Selangor,Klang,
selangor,sale,1900000,1900000,"Setia Eco Templer, 48000, Selangor",3.360522,101.536173,3895,3481,SQUARE_FEET,Selangor,Rawang,
selangor,sale,1380000,1380000,"jalan TR, petaling jaya, 47410, Selangor",3.1302182,101.5929994,1760,2000,SQUARE_FEET,Selangor,Ara Damansara,
selangor,sale,0,590000,"M Aruna, Rawang, Selangor",3.34362,101.52243,20’ x 75’,From 1995 - 2271,,Selangor,Rawang,M Aruna Phase 3 (Delphy)
selangor,sale,855000,855000,Selangor,,,1679,2227,SQUARE_FEET,Selangor,Cyberjaya,
